Identifier,User Story,size
R-001,"나의 위치 중심으로 주변(100내, 500m,,,)에 갈 만한 곳을 거리순으로 추천해주세요",
R-002,"나의 위치 중심으로 주변의 장소를 인기순으로도 보여줬으면 좋겠어요 그리고 나의 위치중심으로 500m내, 1km내로 따로 카테고리를 나눌수있으면 좋겠어요",
R-003,내가 좋아하는 장소를 찜할수 있으면 좋겠습니다.,
R-004,특정 장소에 대해서 나의 의견을 남기고 싶어요,
R-005,특정 장소에 대해서 다녀온 사람의 후기를 듣고 싶어요,
R-006,나의 위치 중심으로 검색된 장소의 상세 경로를 바로 알려줬으면 좋겠어요,
R-007,장소추천을 카테고리별로 나눌수도 있으면 좋겠습니다,
R-008,가고 싶은 곳 몇 가지를 선택을 하면 자동으로 몇가지의 최단 경로를 추천해 주세요.,
R-009,"검색된 장소의 상세정보를 제공해주세요(정보, 가격, 사진,,등)",
R-010,여행지별 관광 소요시간도 입력할 수 있었으면 좋겠습니다.,
R-011,종합적으로 최종 여행 계획표를 출력하고 저장해주면 좋겠습니다.,
R-012,정해진 여행 경로에서 30분 이내의 근처의 맛집을 추천해 주세요.,
R-013,유저가 저장한 최종 여행 계획표를 다른 유저와도 공유하면 좋겠습니다.,
R-014,설정한 여행지 사이의 최적의 이동수단을 추천해주세요.,
R-015,최종 여행 계획표의 형태는 지도상에 그려진 경로와 시간 순서대로 나열된 여행 계획표를 보여주세요.,
R-016,"관광지 정보를 이야기할 때, 개장시간과 마감시간, 가격을 기본적으로 포함해 주세요.",
R-017,R-004를 통해 사람들이 가장 많이 찜한 장소를 볼 수 있으면 좋겠습니다.,
R-018,"축제, 지역 명물, 음식 정보도 간략하게 알려주세요.",
R-019,,
R-020,,
R-021,,
R-022,,
R-023,,
R-024,,
R-025,,